title,link,company,location,description_summary
Desarrollador .Net Back End Sr,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-back-end-sr-remoto-buenos-aires-en-monserrat-3807028F91C7DD3861373E686DCF3405#lc=ListOffers-Score6-12,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Desarrollador Python Sr Experiencia en IA // Proyectos Bancarios,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-python-sr-experiencia-en-ia--proyectos-bancarios-remoto-para-residentes-en-buenos-aires-en-monserrat-935036A4E05D0BE661373E686DCF3405#lc=ListOffers-Score6-13,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Ref. 20190: Desarrollador FullStack PHP / Hibrido Belgrano CABA,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20190-desarrollador-fullstack-php-hibrido-belgrano-caba-en-belgrano-B4E4444373CE403B61373E686DCF3405#lc=ListOffers-Score6-14,ADN - Recursos Humanos,"Belgrano, Capital Federal",N/A (Not in list view)
Desarrollador Python Sr Experiencia en IA // Proyectos Bancarios,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-python-sr-experiencia-en-ia--proyectos-bancarios-remoto-para-residentes-en-buenos-aires-en-monserrat-8C71460CF092BC1361373E686DCF3405#lc=ListOffers-Score6-15,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Desarrollador Python Sr Experiencia en IA // Proyectos Bancarios,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-python-sr-experiencia-en-ia--proyectos-bancarios-remoto-para-residentes-en-buenos-aires-en-monserrat-E363D08123507D3F61373E686DCF3405#lc=ListOffers-Score6-16,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Ref. 20137: Analista Programador .NET / Belgrano CABA,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20137-analista-programador-net-belgrano-caba-en-belgrano-2ED1B5DB08BF2EC061373E686DCF3405#lc=ListOffers-Score6-17,ADN - Recursos Humanos,"Belgrano, Capital Federal",N/A (Not in list view)
Ref. 20056: Desarrollador Full Stack .Net y React Ssr,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20056-desarrollador-full-stack-net-y-react-ssr-hibrido-villa-urquiza-en-villa-urquiza-2760E72F8E359E0061373E686DCF3405#lc=ListOffers-Score6-18,ADN - Recursos Humanos,"Villa Urquiza, Capital Federal",N/A (Not in list view)
Ref. 20137: Analista Programador .NET,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20137-analista-programador-net-belgrano-caba-en-belgrano-10E1D7265743CFCF61373E686DCF3405#lc=ListOffers-Score6-19,ADN - Recursos Humanos,"Belgrano, Capital Federal",N/A (Not in list view)
Desarrollador Python y AI Sr // Poyectos Bancarios,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-python-y-ai-sr-poyectos-bancarios-microcentro-caba-en-monserrat-9C1834354855733161373E686DCF3405#lc=ListOffers-Score6-0,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Programador C# .NET Jr+/Ssr.,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-programador-c-net-jrssr-p-importante-empresa-de-servicios-it-en-monserrat-0DBBE8E1AF333E2761373E686DCF3405#lc=ListOffers-Score6-1,SOLUTIX S.A. [Soluciones de RR.HH],"Monserrat, Capital Federal",N/A (Not in list view)
Desarrollador .Net Back End Sr,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-back-end-sr-remoto-buenos-aires-en-monserrat-2D839E2AC6C163AF61373E686DCF3405#lc=ListOffers-Score6-2,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Desarrollador .NET Front End Sr,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-front-end-sr-full-remoto-para-buenos-aires-en-monserrat-4433671EBBCE163A61373E686DCF3405#lc=ListOffers-Score6-3,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Desarrollador RPG/400 Sr.,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-rpg400-sr-remoto-en-parque-patricios-B242C9B7F0302ABC61373E686DCF3405#lc=ListOffers-Score6-4,SOLUTIX S.A. [Soluciones de RR.HH],"Parque Patricios, Capital Federal",N/A (Not in list view)
